territory,year,admissions,W,hemorrhage,diagnosis,cases,per_1000,percent_of_all_markers,percent_of_hemorrhage
RN,2011,44218,2423,279,O031,1,0.02261522456917997,0.041271151465125874,0.35842293906810035
RN,2011,44218,2423,279,O061,1,0.02261522456917997,0.041271151465125874,0.35842293906810035
RN,2012,42761,2738,197,O031,2,0.04677159093566568,0.07304601899196493,1.015228426395939
RN,2012,42761,2738,197,O061,1,0.02338579546783284,0.036523009495982466,0.5076142131979695
RN,2013,38146,2419,139,O031,0,0.0,0.0,0.0
RN,2013,38146,2419,139,O061,1,0.02621506842132858,0.0413393964448119,0.7194244604316546
RN,2014,41622,2226,152,O031,6,0.1441545336600836,0.2695417789757412,3.9473684210526314
RN,2014,41622,2226,152,O061,3,0.0720772668300418,0.1347708894878706,1.9736842105263157
RN,2015,42876,2241,129,O031,10,0.23323071182013247,0.4462293618920125,7.751937984496124
RN,2015,42876,2241,129,O061,1,0.02332307118201325,0.04462293618920125,0.7751937984496124
RN,2016,41118,2385,141,O031,8,0.1945619923148013,0.33542976939203356,5.673758865248227
RN,2016,41118,2385,141,O061,5,0.12160124519675082,0.20964360587002095,3.5460992907801416
RN,2017,42999,2225,184,O031,8,0.1860508383915905,0.3595505617977528,4.3478260869565215
RN,2017,42999,2225,184,O061,24,0.5581525151747715,1.0786516853932584,13.043478260869565
RN,2018,46622,2504,232,O031,21,0.4504311269357814,0.8386581469648562,9.051724137931034
RN,2018,46622,2504,232,O061,5,0.10724550641328129,0.19968051118210864,2.1551724137931036
RN,2019,45845,2749,264,O031,20,0.4362525902497546,0.7275372862859222,7.575757575757576
RN,2019,45845,2749,264,O061,2,0.04362525902497546,0.07275372862859221,0.7575757575757576
RN,2020,44108,2556,400,O031,15,0.3400743629273601,0.5868544600938967,3.75
RN,2020,44108,2556,400,O061,8,0.18137299356125872,0.3129890453834116,2.0
RN,2021,44196,2586,325,O031,12,0.27151778441487917,0.46403712296983757,3.6923076923076925
