care,minimum_admissions,territory,indicator,outcome,n,status,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,blocks,bootstrap_repetitions,bootstrap_seed,bootstrap_valid,block_status,block_ci_low,block_ci_high,pearson_q_bh,spearman_q_bh,period,census_year
same_uf,1000,BA,illiteracy_15plus,hypertension,185,ok,-0.07894192860992816,0.28546791592468357,-0.22069704499198128,0.06607923740577322,-0.05915086132620887,0.4238346533737091,32,2000,20260919,2000,ok,-0.23909927641278125,0.0884109410246742,0.4790406712648764,0.6152438516715133,2020-2024,2022
same_uf,1000,BA,illiteracy_15plus,hemorrhage,185,ok,-0.009234956053689054,0.9007133322663862,-0.1532993132573622,0.13521379125064395,-0.13176521204416367,0.07379911689837113,32,2000,20260919,2000,ok,-0.12567206811220075,0.050372211981617426,0.9522734572907997,0.21517413945962047,2020-2024,2022
same_uf,1000,BA,illiteracy_15plus,W,185,ok,-0.08866277669328641,0.23008671806682773,-0.22998952219609609,0.0563263075033552,-0.13173280441635313,0.0738707319360325,32,2000,20260919,2000,ok,-0.24941666961460718,0.012355254600015055,0.4405915877875425,0.21517413945962047,2020-2024,2022
same_uf,1000,BA,sewer_septic,hypertension,185,ok,0.16950676328270953,0.021075339962127244,0.025870821318875727,0.3062853082126598,0.1585924332817515,0.031073172108274098,32,2000,20260919,2000,ok,-0.024505276234660662,0.32788947657182443,0.10537669981063622,0.1553658605413705,2020-2024,2022
same_uf,1000,BA,sewer_septic,hemorrhage,185,ok,0.010883156353275279,0.8831099371707635,-0.13359520122179486,0.1549085348668578,0.047002644425928455,0.5252176225932605,32,2000,20260919,2000,ok,-0.05387254240366221,0.11341515781000984,0.9522734572907997,0.6864007912451155,2020-2024,2022
same_uf,1000,BA,sewer_septic,W,185,ok,0.11285477018333938,0.12614617983593762,-0.03193375611676262,0.2530041092074017,0.1638565634358061,0.025835900292423716,32,2000,20260919,2000,ok,-0.0019934332067118973,0.28751047968690147,0.3243758910066968,0.1487415532937771,2020-2024,2022
same_uf,1000,CE,income_pc,hypertension,119,ok,0.15401023462703284,0.0944626650788441,-0.026726194324850207,0.3249965036007732,0.12377866400797607,0.17986294499749558,32,2000,20260919,2000,ok,-0.09597921879958315,0.2742397201047416,0.27095891474430245,0.3854205964232048,2020-2024,2022
same_uf,1000,CE,income_pc,hemorrhage,119,ok,-0.016095765783084533,0.8620682466278954,-0.1955248457468383,0.16437600675926156,0.06744065560588886,0.46615122425979477,32,2000,20260919,2000,ok,-0.09534398452862562,0.13709927368236283,0.9522734572907997,0.6394392919514078,2020-2024,2022
same_uf,1000,CE,income_pc,W,119,ok,0.1449171342833048,0.11583795063807006,-0.036017920911785115,0.31665296721339564,0.09219484403931065,0.3186494576750727,32,2000,20260919,2000,ok,-0.058596147989666905,0.2739511789751807,0.3143417343865942,0.5249621554882159,2020-2024,2022
same_uf,1000,CE,illiteracy_15plus,hypertension,119,ok,-0.29803943307075914,0.000994571029638366,-0.45369610369488084,-0.12473541251956062,-0.2383536474650044,0.009043040139951395,32,2000,20260919,2000,ok,-0.47443430042848583,-0.02515098655518835,0.01026375278320642,0.07398851023596595,2020-2024,2022
