territory,year,admissions,deaths,outside_admissions,hypertension,hemorrhage,W,hypertension_per_1000,hemorrhage_per_1000,W_per_1000,outside_percent
SE,2012,29212,8,66,370,1731,2241,12.666027659865808,59.25646994385869,76.71504861016021,0.22593454744625496
SE,2013,28521,4,47,437,1425,1966,15.322043406612671,49.963185021563056,68.93166438764419,0.16479085586059394
SE,2014,27845,5,96,397,1280,1801,14.257496857604597,45.96875561142036,64.67947566888131,0.3447656670856527
SE,2015,30492,9,326,743,1005,1877,24.367047094319823,32.959464777646595,61.55712973894792,1.0691328873147055
SE,2016,27685,9,316,688,714,1684,24.851002347841792,25.790139064475348,60.82716272349648,1.1414123171392452
SE,2017,29490,8,280,855,713,1781,28.992878942014244,24.177687351644625,60.39335367921329,0.9494743981010512
SE,2018,31193,3,233,993,708,1946,31.834065335171353,22.697400057705256,62.38579168403167,0.7469624595261758
SE,2019,28532,5,194,708,807,1851,24.81424365624562,28.284031964110472,64.87452684704893,0.6799383148745268
SE,2020,30728,7,190,747,792,1891,24.31007550117157,25.774537880760217,61.53996355115855,0.6183285602707628
SE,2021,28064,9,137,586,714,1580,20.880843785632837,25.441847206385404,56.29988597491448,0.48816989737742306
SE,2022,29405,9,113,796,531,1620,27.070226152014964,18.058153375276312,55.09267131440231,0.38428838632885565
SE,2023,26521,6,185,740,300,1361,27.9024169526036,11.311790656460918,51.3178236114777,0.69756042381509
SE,2024,24411,5,170,534,338,1193,21.875384048175004,13.846216869444103,48.87141042972431,0.6964073573389046
SE,2025,26344,0,188,620,300,1178,23.53477072578196,11.387792286668692,44.71606437898573,0.7136349832979046
