municipality,name,income_pc,illiteracy_10plus,sewer_septic,admissions,hypertension,hemorrhage,W,hypertension_per_1000,hemorrhage_per_1000,W_per_1000
240930,Patu - RN,326.35,26.099999999999994,21.85612300933553,804,11,1,14,13.681592039800995,1.243781094527363,17.412935323383085
240933,Santa Maria - RN,239.8,26.599999999999994,0.9146341463414634,295,16,0,17,54.23728813559322,0.0,57.6271186440678
240940,Pau dos Ferros - RN,499.06,17.0,57.55727091633466,2204,63,5,76,28.584392014519057,2.268602540834846,34.48275862068966
240950,Pedra Grande - RN,206.95,23.3,3.10077519379845,240,14,1,18,58.333333333333336,4.166666666666667,75.0
240960,Pedra Preta - RN,215.29,22.3,4.078549848942598,163,5,1,6,30.67484662576687,6.134969325153374,36.809815950920246
240970,Pedro Avelino - RN,286.66,25.8,49.42240080361627,353,18,1,19,50.991501416430594,2.8328611898016995,53.82436260623229
240980,Pedro Velho - RN,257.19,29.3,36.39937106918239,1076,37,9,51,34.386617100371744,8.364312267657992,47.39776951672862
240990,Pendências - RN,389.38,21.40000000000001,61.74792531120332,865,20,2,27,23.121387283236995,2.3121387283236996,31.213872832369944
241000,Pilões - RN,259.43,27.8,21.979166666666668,215,2,1,3,9.30232558139535,4.651162790697675,13.953488372093023
241010,Poço Branco - RN,258.71,27.8,9.467103304554929,774,34,1,41,43.92764857881137,1.2919896640826873,52.97157622739018
241020,Portalegre - RN,295.33,22.099999999999994,1.1267605633802815,506,17,0,17,33.59683794466403,0.0,33.59683794466403
241025,Porto do Mangue - RN,255.03,26.3,0.2775850104094379,357,2,0,2,5.602240896358543,0.0,5.602240896358543
241030,Serra Caiada - RN,240.01,29.90000000000001,27.512998266897743,781,20,5,30,25.60819462227913,6.402048655569782,38.41229193341869
241040,Pureza - RN,193.38,25.700000000000003,1.4411901441190145,550,25,5,30,45.45454545454545,9.090909090909092,54.54545454545455
241050,Rafael Fernandes - RN,309.39,22.8,20.83024462564863,365,9,1,11,24.65753424657534,2.73972602739726,30.136986301369863
241060,Rafael Godeiro - RN,299.2,23.099999999999994,3.5639412997903563,229,2,1,4,8.733624454148472,4.366812227074236,17.467248908296945
241070,Riacho da Cruz - RN,230.21,24.40000000000001,59.49506037321625,254,7,0,8,27.559055118110237,0.0,31.496062992125985
241080,Riacho de Santana - RN,236.56,25.200000000000003,15.26530612244898,310,4,2,6,12.903225806451612,6.451612903225806,19.35483870967742
241090,Riachuelo - RN,259.35,27.8,60.88840736728061,531,24,5,33,45.19774011299435,9.416195856873824,62.14689265536723
241100,Rodolfo Fernandes - RN,260.4,28.0,21.686746987951807,316,8,0,8,25.31645569620253,0.0,25.31645569620253
241105,Tibau - RN,366.07,21.0,31.65182987141444,349,4,0,6,11.461318051575931,0.0,17.191977077363898
241110,Ruy Barbosa - RN,240.35,28.5,0.7223942208462333,190,10,1,13,52.63157894736842,5.2631578947368425,68.42105263157895
241120,Santa Cruz - RN,318.64,22.099999999999994,81.4661692043965,3392,59,11,96,17.3938679245283,3.2429245283018866,28.30188679245283
241140,Santana do Matos - RN,250.67,26.90000000000001,58.53718804052384,772,24,10,34,31.088082901554404,12.953367875647668,44.04145077720207
241142,Santana do Seridó - RN,325.16,18.200000000000003,65.56016597510373,152,1,3,4,6.578947368421052,19.736842105263158,26.31578947368421
241150,Santo Antônio - RN,318.35,27.90000000000001,21.079893266363207,2067,58,13,86,28.059990324141268,6.289308176100629,41.606192549588776
241160,São Bento do Norte - RN,229.9,30.40000000000001,65.99496221662469,206,16,1,17,77.66990291262135,4.854368932038835,82.52427184466019
